,municipio,codigo,area territorial - km^2 (2020),pop estimada - pessoas (2020),densidade demografica - hab/km^2 (2020),IDHM indice de desenvolvimento humano municipal (2010),PIB per capita - reais (2018)
0,Abatiá,4100103,228.717,7408,32.38937201869559,0.687,21529.76
1,Adrianópolis,4100202,1349.311,5857,4.340733900486989,0.667,43677.47
2,Agudos do Sul,4100301,192.261,9470,49.25595934692944,0.66,22087.81
3,Almirante Tamandaré,4100400,194.888,120041,615.9486474282664,0.699,13168.04
4,Altamira do Paraná,4100459,386.945,1682,4.346871002338834,0.667,33206.41
5,Altônia,4100509,661.56,22176,33.52076909123889,0.721,17248.08
6,Alto Paraná,4100608,407.719,14859,36.44421770876511,0.696,22430.78
7,Alto Piquiri,4100707,447.666,9778,21.842176980159316,0.676,30900.0
8,Alvorada do Sul,4100806,424.25,11503,27.113730111962287,0.708,23481.5
9,Amaporã,4100905,384.735,6332,16.458081536642105,0.669,25691.34
10,Ampére,4101002,298.349,19311,64.72620990852995,0.709,31922.65
11,Anahy,4101051,102.895,2788,27.095582875747123,0.695,30289.95
12,Andirá,4101101,236.075,19926,84.40537964629885,0.725,37115.48
13,Ângulo,4101150,106.021,2930,27.63603437054923,0.721,38937.19
14,Antonina,4101200,882.317,18949,21.476408139024862,0.687,28312.72
15,Antônio Olinto,4101309,469.62,7427,15.814914185937566,0.656,25293.06
16,Apucarana,4101408,558.389,136234,243.97686917184973,0.748,23315.61
17,Arapongas,4101507,382.215,124810,326.5439608597256,0.748,35440.69
18,Arapoti,4101606,1358.176,28300,20.836769314138962,0.723,41056.91
19,Arapuã,4101655,217.371,3009,13.842692907517561,0.676,33898.05
20,Araruna,4101705,493.191,14000,28.386568286931432,0.704,32538.31
21,Araucária,4101804,469.24,146214,311.5974767709488,0.74,116046.97
22,Ariranha do Ivaí,4101853,239.562,2066,8.624072265217354,0.67,41179.91
23,Assaí,4101903,440.347,14954,33.959581875202964,0.728,25938.66
24,Assis Chateaubriand,4102000,980.727,33340,33.99518928305227,0.729,36800.41
