bairro,distrito,codigo,População Projetada - Total (Habitante) (2021),Rendimento Nominal Mensal Mediano das Pessoas de 10 Anos ou Mais de Idade - Total (Real),Rendimento Nominal Mensal Mediano das Pessoas de 10 Anos ou Mais de Idade - Com Rendimento  (Real),Rendimento Nominal Mensal Médio das Pessoas de 10 Anos ou Mais de Idade - Total (Real),Rendimento Nominal Mensal Médio das Pessoas de 10 Anos ou Mais de Idade - Com Rendimento (Real),area,densidade
Abranches,DSBV,50,15838,650.0,1000.0,1179.0,1709.0,4.32,3666.2037037037035
Ahú,DSMZ,14,11974,1500.0,2500.0,3054.0,4238.0,1.84,6507.608695652174
Alto Boqueirão,DSBQ,64,56963,650.0,1000.0,867.0,1262.0,12.11,4703.798513625104
Alto Da Glória,DSMZ,4,5496,2000.0,3000.0,3054.0,4101.0,0.88,6245.454545454545
Alto Da Rua Xv,DSMZ,5,8332,1500.0,2500.0,2854.0,3784.0,1.5,5554.666666666667
Atuba,DSBV,55,20257,700.0,1000.0,1203.0,1713.0,4.27,4744.028103044497
Augusta,DSCIC,68,10499,520.0,800.0,731.0,1091.0,8.84,1187.6696832579187
Bacacheri,DSBV,35,24556,1200.0,2000.0,2216.0,3016.0,6.98,3518.051575931232
Bairro Alto,DSBV,36,51436,700.0,1000.0,1116.0,1555.0,7.02,7327.065527065528
Barreirinha,DSBV,52,19320,750.0,1000.0,1163.0,1600.0,3.73,5179.624664879357
Batel,DSMZ,10,9700,1700.0,3505.0,4140.0,6187.0,1.76,5511.363636363636
Bigorrilho,DSMZ,11,29918,2000.0,3000.0,3729.0,4952.0,3.5,8548.0
Boa Vista,DSBV,34,33226,1000.0,1400.0,1600.0,2174.0,5.14,6464.20233463035
Bom Retiro,DSMZ,13,4532,1000.0,1800.0,2119.0,2934.0,1.94,2336.082474226804
Boqueirão,DSBQ,56,79306,700.0,1000.0,1109.0,1602.0,14.8,5358.513513513513
Butiatuvinha,DSSF,61,15646,600.0,1000.0,1196.0,1771.0,10.58,1478.82797731569
Cabral,DSMZ,16,14814,2000.0,3000.0,3519.0,4669.0,2.04,7261.764705882353
Cachoeira,DSBV,51,11376,600.0,800.0,814.0,1172.0,3.07,3705.5374592833878
Cajuru,DSCJ,21,104596,600.0,900.0,873.0,1275.0,11.55,9055.930735930735
Campina Do Siqueira,DSSF,30,7611,1100.0,1900.0,2287.0,3083.0,1.69,4503.550295857988
Campo Comprido,DSPR,44,38209,800.0,1200.0,1784.0,2486.0,8.55,4468.888888888889
Campo De Santana,DSTQ,71,51942,580.0,800.0,627.0,948.0,21.57,2408.066759388039
Capão Raso,DSPN,58,38275,760.0,1020.0,1127.0,1583.0,5.06,7564.229249011858
Capão Da Imbuia,DSCJ,20,19815,800.0,1100.0,1253.0,1766.0,3.16,6270.569620253164
Cascatinha,DSSF,47,2292,1000.0,1500.0,2222.0,3062.0,2.57,891.8287937743191
Caximba,DSTQ,70,2584,510.0,700.0,559.0,896.0,8.17,316.27906976744185
Centro,DSMZ,1,43381,1300.0,2000.0,2393.0,3089.0,3.3,13145.757575757576
Centro Cívico,DSMZ,3,4804,2000.0,2600.0,3170.0,3979.0,0.97,4952.577319587629
Cidade Industrial De Curitiba,DSCIC,75,192923,600.0,850.0,779.0,1137.0,43.38,4447.279852466574
Cristo Rei,DSMZ,6,14410,1800.0,2500.0,2856.0,3711.0,1.46,9869.86301369863
Fanny,DSPN,39,9133,800.0,1200.0,1308.0,1844.0,2.0,4566.5
Fazendinha,DSPR,42,30628,700.0,1000.0,984.0,1379.0,3.72,8233.333333333332
Ganchinho,DSBN,72,16220,510.0,750.0,615.0,949.0,11.2,1448.2142857142858
Guabirotuba,DSCJ,23,12486,1000.0,1500.0,1746.0,2488.0,2.63,4747.528517110266
Guaíra,DSPR,26,15736,700.0,1020.9999999999999,1191.0,1696.0,2.32,6782.758620689656
Hauer,DSBQ,38,12614,800.0,1200.0,1336.0,1869.0,4.02,3137.810945273632
Hugo Lange,DSMZ,17,3686,1500.0,2500.0,3143.0,4391.0,1.15,3205.217391304348
Jardim Botânico,DSMZ,7,6197,1000.0,1500.0,1853.0,2492.0,2.77,2237.1841155234656
Jardim Social,DSMZ,18,5192,1500.0,3000.0,3265.0,4779.0,1.89,2747.089947089947
Jardim Das Américas,DSCJ,22,17076,1100.0,2000.0,2164.0,3062.0,3.87,4412.403100775194
Juvevê,DSMZ,15,11976,1800.0,3000.0,3323.0,4445.0,1.23,9736.585365853658
Lamenha Pequena,DSSF,62,1521,600.0,800.0,815.0,1102.0,3.4,447.3529411764706
Lindóia,DSPN,40,8899,650.0,1000.0,978.0,1390.0,1.18,7541.525423728814
