codigo,municipio,regional,codigo_reg
4104808,Cascavel,Cascavel,10
4108452,Foz do Jordão,Guarapuava,05
4103958,Campina do Simão,Guarapuava,05
4103602,Cambará,Jacarezinho,19
4109401,Guarapuava,Guarapuava,05
4128559,Vera Cruz do Oeste,Cascavel,10
4103040,Boa Ventura de São Roque,Guarapuava,05
4113809,Lupionópolis,Londrina,17
4128005,Ubiratã,Campo Mourão,11
4115606,Matelândia,Foz do Iguaçu,09
4106605,Cruzeiro do Oeste,Umuarama,12
4116307,Munhoz de Melo,Maringá,15
4110078,Imbaú,Telêmaco Borba,21
4116901,Nova Esperança,Maringá,15
4121901,Ribeirão do Pinhal,Cornélio Procópio,18
4105409,Chopinzinho,Pato Branco,07
4111803,Jacarezinho,Jacarezinho,19
4121000,Querência do Norte,Paranavaí,14
4101150,Ângulo,Maringá,15
4125456,São José das Palmeiras,Toledo,20
4108601,Goioerê,Campo Mourão,11
4114104,Mandaguaçu,Maringá,15
4119202,Pinhalão,Jacarezinho,19
4119806,Planalto,Franscisco Beltrão,08
4124608,São Carlos do Ivaí,Paranavaí,14
4118857,Perobal,Umuarama,12
4113502,Loanda,Paranavaí,14
4119251,Pinhal de São Bento,Franscisco Beltrão,08
4127809,Tomazina,Jacarezinho,19
4103909,Campina da Lagoa,Campo Mourão,11
4118808,Peabiru,Campo Mourão,11
4104659,Carambeí,Ponta Grossa,03
4123600,Santa Inês,Maringá,15
4113700,Londrina,Londrina,17
4111605,Ivatuba,Maringá,15
4123709,Santa Isabel do Ivaí,Paranavaí,14
4109757,Ibema,Cascavel,10
4125001,São João do Ivaí,Ivaiporã,22
4106704,Cruzeiro do Sul,Paranavaí,14
4115408,Marmeleiro,Franscisco Beltrão,08
4118303,Paranapoema,Paranavaí,14
4121604,Renascença,Franscisco Beltrão,08
4114807,Marialva,Maringá,15
4108106,Florida,Maringá,15
4112108,Jandaia do Sul,Apucarana,16
4103107,Bocaiúva do Sul,Metropolitana Curitiba,02
4116604,Nova América da Colina,Cornélio Procópio,18
4110201,Inácio Martins,Irati,04
4103008,Boa Esperança,Campo Mourão,11
4109104,Guaporema,Cianorte,13
4100509,Altônia,Umuarama,12
4126504,Sertanópolis,Londrina,17
4128708,Vitorino,Pato Branco,07
4115853,Mercedes,Toledo,20
4122404,Rolândia,Londrina,17
4117701,Palmeira,Ponta Grossa,03
4104428,Candói,Guarapuava,05
4111100,Itambé,Maringá,15
4128401,Uraí,Cornélio Procópio,18
4117206,Nova Olímpia,Umuarama,12
4113205,Lapa,Metropolitana Curitiba,02
4106803,Cruz Machado,União da Vitória,06
4104303,Campo Mourão,Campo Mourão,11
4107736,Fernandes Pinheiro,Irati,04
4107546,Espigão Alto do Iguaçu,Cascavel,10
4106100,Conselheiro Mairinck,Jacarezinho,19
4128633,Doutor Ulysses,Metropolitana Curitiba,02
4106407,Cornélio Procópio,Cornélio Procópio,18
4127502,Tibagi,Telêmaco Borba,21
4126256,Sarandi,Maringá,15
4109658,Honório Serpa,Pato Branco,07
4110508,Ipiranga,Ponta Grossa,03
4115903,Mirador,Paranavaí,14
4123857,Santa Maria do Oeste,Ivaiporã,22
4123824,Santa Lúcia,Cascavel,10
4111258,Itaperuçu,Metropolitana Curitiba,02
4101101,Andirá,Cornélio Procópio,18
4128203,União da Vitória,União da Vitória,06
4120804,Quatro Barras,Metropolitana Curitiba,02
4123956,Santa Mônica,Paranavaí,14
4120507,Primeiro de Maio,Londrina,17
4107603,Faxinal,Apucarana,16
4120200,Porto Rico,Paranavaí,14
4104253,Campo Magro,Metropolitana Curitiba,02
4120101,Porto Amazonas,Ponta Grossa,03
4122651,Rosário do Ivaí,Ivaiporã,22
4117214,Nova Santa Bárbara,Cornélio Procópio,18
4103024,Boa Esperança do Iguaçu,Franscisco Beltrão,08
4104709,Carlópolis,Jacarezinho,19
4107538,Entre Rios do Oeste,Toledo,20
4110102,Imbituva,Irati,04
4126702,Tamboara,Paranavaí,14
4122008,Rio Azul,Irati,04
4115804,Medianeira,Foz do Iguaçu,09
4101655,Arapuã,Ivaiporã,22
4107207,Dois Vizinhos,Franscisco Beltrão,08
4103354,Braganey,Cascavel,10
4110706,Irati,Irati,04
4116950,Nova Esperança do Sudoeste,Franscisco Beltrão,08
4109708,Ibaiti,Jacarezinho,19
4112306,Japira,Jacarezinho,19
4126603,Siqueira Campos,Jacarezinho,19
4107108,Diamante do Norte,Paranavaí,14
4126272,Saudade do Iguaçu,Pato Branco,07
