sexo,idade,casosAcumulados,obitosAcumulados,localidade,codigo
f,0-4,0.8,0.0,Paraná,41
f,10-14,1.3,0.0,Paraná,41
f,15-19,2.9,0.1,Paraná,41
f,20-24,5.1,0.2,Paraná,41
f,25-29,5.7,0.4,Paraná,41
f,30-34,5.7,0.7,Paraná,41
f,35-39,5.7,1.0,Paraná,41
f,40-44,5.3,1.6,Paraná,41
f,45-49,4.6,2.2,Paraná,41
f,5-9,0.8,0.0,Paraná,41
f,50-54,4.2,3.3,Paraná,41
f,55-59,3.5,4.3,Paraná,41
f,60-64,2.5,4.8,Paraná,41
f,65-69,1.7,5.4,Paraná,41
f,70-74,1.1,5.0,Paraná,41
f,75-79,0.8,4.6,Paraná,41
f,80+,0.9,8.6,Paraná,41
m,0-4,0.9,0.0,Paraná,41
m,10-14,1.2,0.0,Paraná,41
m,15-19,2.5,0.1,Paraná,41
m,20-24,4.6,0.2,Paraná,41
m,25-29,5.1,0.5,Paraná,41
m,30-34,5.2,1.1,Paraná,41
m,35-39,5.2,1.8,Paraná,41
m,40-44,4.6,2.5,Paraná,41
m,45-49,4.1,3.7,Paraná,41
m,5-9,0.9,0.0,Paraná,41
m,50-54,3.8,5.0,Paraná,41
m,55-59,3.2,6.6,Paraná,41
m,60-64,2.2,6.8,Paraná,41
m,65-69,1.6,7.2,Paraná,41
m,70-74,1.1,6.8,Paraná,41
m,75-79,0.7,6.1,Paraná,41
m,80+,0.7,9.3,Paraná,41
f,0-4,1.2,0.0,Abatiá,4100103
f,10-14,1.6,0.0,Abatiá,4100103
f,15-19,3.0,0.0,Abatiá,4100103
f,20-24,5.8,0.0,Abatiá,4100103
f,25-29,4.2,0.0,Abatiá,4100103
f,30-34,4.6,0.0,Abatiá,4100103
f,35-39,4.1,0.0,Abatiá,4100103
f,40-44,5.1,5.6,Abatiá,4100103
f,45-49,3.8,0.0,Abatiá,4100103
f,5-9,0.8,0.0,Abatiá,4100103
f,50-54,4.7,5.6,Abatiá,4100103
f,55-59,3.2,0.0,Abatiá,4100103
f,60-64,3.0,0.0,Abatiá,4100103
f,65-69,2.7,0.0,Abatiá,4100103
f,70-74,1.9,0.0,Abatiá,4100103
f,75-79,0.8,5.6,Abatiá,4100103
f,80+,1.4,22.2,Abatiá,4100103
m,0-4,1.3,0.0,Abatiá,4100103
m,10-14,1.4,0.0,Abatiá,4100103
m,15-19,2.7,0.0,Abatiá,4100103
m,20-24,4.5,0.0,Abatiá,4100103
m,25-29,4.5,0.0,Abatiá,4100103
m,30-34,4.7,0.0,Abatiá,4100103
m,35-39,3.2,5.6,Abatiá,4100103
m,40-44,4.4,0.0,Abatiá,4100103
m,45-49,3.3,5.6,Abatiá,4100103
m,5-9,1.2,0.0,Abatiá,4100103
m,50-54,3.4,5.6,Abatiá,4100103
m,55-59,4.8,5.6,Abatiá,4100103
m,60-64,3.3,5.6,Abatiá,4100103
m,65-69,2.5,11.1,Abatiá,4100103
m,70-74,1.2,0.0,Abatiá,4100103
m,75-79,1.3,5.6,Abatiá,4100103
m,80+,0.6,16.7,Abatiá,4100103
