sexo,grupo_idade,casosAcumulados,obitosAcumulados,localidade
F,0,8961.0,10.0,Paraná
F,1,8835.0,1.0,Paraná
F,2,13493.0,9.0,Paraná
F,3,30784.0,22.0,Paraná
F,4,56228.0,47.0,Paraná
F,5,62687.0,78.0,Paraná
F,6,63118.0,156.0,Paraná
F,7,62832.0,214.0,Paraná
F,8,57669.0,360.0,Paraná
F,9,50823.0,490.0,Paraná
F,10,46236.0,762.0,Paraná
F,11,38582.0,992.0,Paraná
F,12,28048.0,1303.0,Paraná
F,13,19617.0,1559.0,Paraná
F,14,13025.0,1476.0,Paraná
F,15,8472.0,1351.0,Paraná
F,16,10307.0,2482.0,Paraná
M,0,9907.0,5.0,Paraná
M,1,9027.0,2.0,Paraná
M,2,12196.0,4.0,Paraná
M,3,26691.0,15.0,Paraná
M,4,50169.0,49.0,Paraná
M,5,56017.0,123.0,Paraná
M,6,56784.0,233.0,Paraná
M,7,56465.0,425.0,Paraná
M,8,50128.0,535.0,Paraná
M,9,44653.0,850.0,Paraná
M,10,40308.0,1097.0,Paraná
M,11,34190.0,1549.0,Paraná
M,12,24592.0,1892.0,Paraná
M,13,18047.0,2076.0,Paraná
M,14,12209.0,2012.0,Paraná
M,15,7833.0,1792.0,Paraná
M,16,8167.0,2670.0,Paraná
F,0,11.0,0.0,ABATIA
F,1,5.0,0.0,ABATIA
F,2,13.0,0.0,ABATIA
F,3,24.0,0.0,ABATIA
F,4,57.0,0.0,ABATIA
F,5,36.0,0.0,ABATIA
F,6,40.0,0.0,ABATIA
F,7,33.0,0.0,ABATIA
F,8,34.0,0.0,ABATIA
F,9,31.0,0.0,ABATIA
F,10,39.0,1.0,ABATIA
F,11,24.0,0.0,ABATIA
F,12,23.0,0.0,ABATIA
F,13,25.0,0.0,ABATIA
F,14,16.0,0.0,ABATIA
F,15,7.0,1.0,ABATIA
F,16,9.0,2.0,ABATIA
M,0,8.0,0.0,ABATIA
M,1,8.0,0.0,ABATIA
M,2,9.0,0.0,ABATIA
M,3,23.0,0.0,ABATIA
M,4,42.0,0.0,ABATIA
M,5,38.0,0.0,ABATIA
M,6,34.0,0.0,ABATIA
M,7,30.0,1.0,ABATIA
M,8,33.0,0.0,ABATIA
M,9,24.0,0.0,ABATIA
