localidade,sexo,idade,casosAcumulados,obitosAcumulados,codigo_reg
Apucarana,f,0-4,1.0,0.0,16
Apucarana,f,10-14,1.5,0.1,16
Apucarana,f,15-19,3.1,0.3,16
Apucarana,f,20-24,5.0,0.2,16
Apucarana,f,25-29,5.5,0.5,16
Apucarana,f,30-34,5.3,0.8,16
Apucarana,f,35-39,5.3,0.9,16
Apucarana,f,40-44,5.0,1.8,16
Apucarana,f,45-49,4.5,2.3,16
Apucarana,f,5-9,1.1,0.0,16
Apucarana,f,50-54,4.3,3.4,16
Apucarana,f,55-59,3.7,4.2,16
Apucarana,f,60-64,2.5,5.5,16
Apucarana,f,65-69,1.8,5.2,16
Apucarana,f,70-74,1.3,5.1,16
Apucarana,f,75-79,0.8,4.9,16
Apucarana,f,80+,1.1,9.0,16
Apucarana,m,0-4,1.1,0.0,16
Apucarana,m,10-14,1.5,0.0,16
Apucarana,m,15-19,2.7,0.1,16
Apucarana,m,20-24,4.5,0.3,16
Apucarana,m,25-29,4.9,0.5,16
Apucarana,m,30-34,4.6,0.9,16
Apucarana,m,35-39,5.1,2.4,16
Apucarana,m,40-44,4.4,1.6,16
Apucarana,m,45-49,4.0,4.4,16
Apucarana,m,5-9,1.1,0.0,16
Apucarana,m,50-54,3.8,4.5,16
Apucarana,m,55-59,3.3,7.9,16
Apucarana,m,60-64,2.1,6.6,16
Apucarana,m,65-69,1.6,7.4,16
Apucarana,m,70-74,1.1,5.8,16
Apucarana,m,75-79,0.7,5.1,16
Apucarana,m,80+,0.9,8.6,16
Campo Mourão,f,0-4,1.0,0.0,11
Campo Mourão,f,10-14,1.5,0.1,11
Campo Mourão,f,15-19,3.0,0.1,11
Campo Mourão,f,20-24,4.9,0.1,11
Campo Mourão,f,25-29,5.6,0.9,11
Campo Mourão,f,30-34,5.5,1.0,11
Campo Mourão,f,35-39,5.3,1.8,11
Campo Mourão,f,40-44,4.8,1.2,11
Campo Mourão,f,45-49,4.6,2.6,11
Campo Mourão,f,5-9,1.2,0.1,11
Campo Mourão,f,50-54,4.6,3.2,11
Campo Mourão,f,55-59,3.7,5.0,11
Campo Mourão,f,60-64,2.5,5.2,11
Campo Mourão,f,65-69,1.7,3.9,11
Campo Mourão,f,70-74,1.3,4.3,11
Campo Mourão,f,75-79,0.7,4.1,11
Campo Mourão,f,80+,0.9,8.5,11
Campo Mourão,m,0-4,1.2,0.0,11
Campo Mourão,m,10-14,1.5,0.0,11
Campo Mourão,m,15-19,2.8,0.1,11
Campo Mourão,m,20-24,4.3,0.1,11
Campo Mourão,m,25-29,5.0,0.5,11
Campo Mourão,m,30-34,4.8,1.3,11
Campo Mourão,m,35-39,4.6,2.2,11
Campo Mourão,m,40-44,4.2,2.6,11
Campo Mourão,m,45-49,4.1,5.0,11
Campo Mourão,m,5-9,1.2,0.0,11
Campo Mourão,m,50-54,3.9,4.8,11
Campo Mourão,m,55-59,3.3,6.6,11
Campo Mourão,m,60-64,2.2,6.6,11
Campo Mourão,m,65-69,1.5,7.4,11
Campo Mourão,m,70-74,1.1,6.3,11
Campo Mourão,m,75-79,0.8,5.0,11
Campo Mourão,m,80+,0.8,9.2,11
Cascavel,f,0-4,0.7,0.1,10
Cascavel,f,10-14,1.1,0.0,10
Cascavel,f,15-19,2.5,0.1,10
Cascavel,f,20-24,5.1,0.3,10
Cascavel,f,25-29,6.0,0.2,10
Cascavel,f,30-34,6.0,0.8,10
Cascavel,f,35-39,6.0,0.6,10
Cascavel,f,40-44,5.5,1.8,10
Cascavel,f,45-49,4.9,1.9,10
Cascavel,f,5-9,0.7,0.0,10
Cascavel,f,50-54,4.5,2.1,10
Cascavel,f,55-59,3.6,2.8,10
Cascavel,f,60-64,2.4,3.6,10
Cascavel,f,65-69,1.8,4.8,10
Cascavel,f,70-74,1.2,4.6,10
Cascavel,f,75-79,0.7,4.8,10
Cascavel,f,80+,0.9,9.7,10
Cascavel,m,0-4,0.8,0.1,10
Cascavel,m,10-14,1.0,0.0,10
Cascavel,m,15-19,2.3,0.1,10
Cascavel,m,20-24,4.1,0.2,10
Cascavel,m,25-29,5.0,0.5,10
Cascavel,m,30-34,5.0,1.1,10
Cascavel,m,35-39,5.0,1.6,10
Cascavel,m,40-44,4.4,1.6,10
Cascavel,m,45-49,4.3,3.0,10
Cascavel,m,5-9,0.7,0.0,10
Cascavel,m,50-54,3.9,5.4,10
Cascavel,m,55-59,3.3,6.8,10
Cascavel,m,60-64,2.4,7.3,10
Cascavel,m,65-69,1.6,8.0,10
Cascavel,m,70-74,1.1,7.2,10
Cascavel,m,75-79,0.8,6.7,10
Cascavel,m,80+,0.8,12.5,10
Cianorte,f,0-4,1.1,0.0,13
Cianorte,f,10-14,1.6,0.0,13
