date,vacinas_parcialNovas,localidade,vacinas_completasNovas,vacinas_parcialAcumulados,vacinas_completasAcumulados,vacinas_parcialNovas_100k,vacinas_parcialAcumulados_100k,vacinas_completasNovas_100k,vacinas_completasAcumulados_100k,codigo
2021-09-15,1.0,Abatiá,0.0,1.0,0.0,13.5,13.5,0.0,0.0,4100103
2021-09-16,0.0,Abatiá,0.0,1.0,0.0,0.0,13.5,0.0,0.0,4100103
2021-09-17,0.0,Abatiá,0.0,1.0,0.0,0.0,13.5,0.0,0.0,4100103
2021-09-18,0.0,Abatiá,0.0,1.0,0.0,0.0,13.5,0.0,0.0,4100103
2021-09-19,0.0,Abatiá,0.0,1.0,0.0,0.0,13.5,0.0,0.0,4100103
2021-09-20,0.0,Abatiá,0.0,1.0,0.0,0.0,13.5,0.0,0.0,4100103
2021-09-21,0.0,Abatiá,0.0,1.0,0.0,0.0,13.5,0.0,0.0,4100103
2021-09-22,0.0,Abatiá,0.0,1.0,0.0,0.0,13.5,0.0,0.0,4100103
2021-09-23,0.0,Abatiá,0.0,1.0,0.0,0.0,13.5,0.0,0.0,4100103
2021-09-24,0.0,Abatiá,0.0,1.0,0.0,0.0,13.5,0.0,0.0,4100103
2021-09-25,0.0,Abatiá,0.0,1.0,0.0,0.0,13.5,0.0,0.0,4100103
2021-09-26,0.0,Abatiá,0.0,1.0,0.0,0.0,13.5,0.0,0.0,4100103
2021-09-27,0.0,Abatiá,0.0,1.0,0.0,0.0,13.5,0.0,0.0,4100103
2021-09-28,0.0,Abatiá,0.0,1.0,0.0,0.0,13.5,0.0,0.0,4100103
2021-09-29,0.0,Abatiá,0.0,1.0,0.0,0.0,13.5,0.0,0.0,4100103
2021-09-30,0.0,Abatiá,0.0,1.0,0.0,0.0,13.5,0.0,0.0,4100103
2021-10-01,0.0,Abatiá,0.0,1.0,0.0,0.0,13.5,0.0,0.0,4100103
2021-10-02,0.0,Abatiá,0.0,1.0,0.0,0.0,13.5,0.0,0.0,4100103
2021-10-03,0.0,Abatiá,0.0,1.0,0.0,0.0,13.5,0.0,0.0,4100103
2021-10-04,0.0,Abatiá,0.0,1.0,0.0,0.0,13.5,0.0,0.0,4100103
2021-10-05,0.0,Abatiá,0.0,1.0,0.0,0.0,13.5,0.0,0.0,4100103
