bairro,distrito,codigo,População Projetada - Total (Habitante) (2021),Rendimento Nominal Mensal Mediano das Pessoas de 10 Anos ou Mais de Idade - Total (Real),Rendimento Nominal Mensal Mediano das Pessoas de 10 Anos ou Mais de Idade - Com Rendimento  (Real),Rendimento Nominal Mensal Médio das Pessoas de 10 Anos ou Mais de Idade - Total (Real),Rendimento Nominal Mensal Médio das Pessoas de 10 Anos ou Mais de Idade - Com Rendimento (Real)
Abranches,DSBV,50,15.838,"650,00","1.000,00","1.179,72","1.709,45"
Ahú,DSMZ,14,11.974,"1.500,00","2.500,00","3.054,92","4.238,62"
Alto Boqueirão,DSBQ,64,56.963,"650,00","1.000,00","867,36","1.262,61"
Alto Da Glória,DSMZ,4,5.496,"2.000,00","3.000,00","3.054,18","4.101,11"
Alto Da Rua Xv,DSMZ,5,8.332,"1.500,00","2.500,00","2.854,97","3.784,23"
Atuba,DSBV,55,20.257,"700,00","1.000,00","1.203,26","1.713,26"
Augusta,DSCIC,68,10.499,"520,00","800,00","731,64","1.091,75"
Bacacheri,DSBV,35,24.555999999999997,"1.200,00","2.000,00","2.216,40","3.016,98"
Bairro Alto,DSBV,36,51.43600000000001,"700,00","1.000,00","1.116,57","1.555,88"
Barreirinha,DSBV,52,19.32,"750,00","1.000,00","1.163,49","1.600,64"
Batel,DSMZ,10,9.7,"1.700,00","3.505,50","4.140,70","6.187,41"
Bigorrilho,DSMZ,11,29.918000000000003,"2.000,00","3.000,00","3.729,56","4.952,38"
Boa Vista,DSBV,34,33.226,"1.000,00","1.400,00","1.600,36","2.174,57"
Bom Retiro,DSMZ,13,4.532,"1.000,00","1.800,00","2.119,34","2.934,14"
Boqueirão,DSBQ,56,79.306,"700,00","1.000,00","1.109,87","1.602,85"
Butiatuvinha,DSSF,61,15.645999999999999,"600,00","1.000,00","1.196,67","1.771,74"
Cabral,DSMZ,16,14.814,"2.000,00","3.000,00","3.519,61","4.669,13"
Cachoeira,DSBV,51,11.376,"600,00","800,00","814,30","1.172,91"
Cajuru,DSCJ,21,104.596,"600,00","900,00","873,67","1.275,31"
Campina Do Siqueira,DSSF,30,7.611000000000001,"1.100,00","1.900,00","2.287,19","3.083,02"
Campo Comprido,DSPR,44,38.209,"800,00","1.200,00","1.784,40","2.486,19"
