idade,localidade,perc,sexo
0-4,Bairro Novo,3.86,m
5-9,Bairro Novo,4.08,m
10-14,Bairro Novo,4.65,m
15-19,Bairro Novo,4.61,m
20-24,Bairro Novo,4.63,m
25-29,Bairro Novo,4.63,m
30-34,Bairro Novo,4.32,m
35-39,Bairro Novo,4.08,m
40-44,Bairro Novo,3.73,m
45-49,Bairro Novo,3.0,m
50-54,Bairro Novo,2.36,m
55-59,Bairro Novo,1.87,m
60-64,Bairro Novo,1.21,m
65-69,Bairro Novo,0.73,m
70-74,Bairro Novo,0.48,m
75-79,Bairro Novo,0.29,m
80+,Bairro Novo,0.22,m
0-4,Santa Felicidade,3.15,m
5-9,Santa Felicidade,3.32,m
10-14,Santa Felicidade,3.75,m
15-19,Santa Felicidade,3.83,m
20-24,Santa Felicidade,3.94,m
25-29,Santa Felicidade,4.36,m
30-34,Santa Felicidade,4.24,m
35-39,Santa Felicidade,4.08,m
40-44,Santa Felicidade,3.88,m
45-49,Santa Felicidade,3.44,m
50-54,Santa Felicidade,2.91,m
55-59,Santa Felicidade,2.31,m
60-64,Santa Felicidade,1.71,m
65-69,Santa Felicidade,1.16,m
70-74,Santa Felicidade,0.79,m
75-79,Santa Felicidade,0.48,m
80+,Santa Felicidade,0.46,m
0-4,Boa Vista,2.95,m
5-9,Boa Vista,3.1,m
10-14,Boa Vista,3.67,m
15-19,Boa Vista,3.82,m
20-24,Boa Vista,4.34,m
25-29,Boa Vista,4.46,m
30-34,Boa Vista,4.21,m
35-39,Boa Vista,3.7,m
40-44,Boa Vista,3.55,m
45-49,Boa Vista,3.37,m
50-54,Boa Vista,2.93,m
55-59,Boa Vista,2.29,m
60-64,Boa Vista,1.81,m
65-69,Boa Vista,1.23,m
70-74,Boa Vista,0.91,m
75-79,Boa Vista,0.61,m
80+,Boa Vista,0.52,m
0-4,Boqueirão,3.21,m
5-9,Boqueirão,3.49,m
10-14,Boqueirão,3.95,m
15-19,Boqueirão,4.17,m
20-24,Boqueirão,4.38,m
25-29,Boqueirão,4.46,m
30-34,Boqueirão,4.27,m
35-39,Boqueirão,3.86,m
40-44,Boqueirão,3.66,m
45-49,Boqueirão,3.29,m
50-54,Boqueirão,2.74,m
55-59,Boqueirão,2.16,m
60-64,Boqueirão,1.63,m
65-69,Boqueirão,1.1,m
70-74,Boqueirão,0.78,m
75-79,Boqueirão,0.47,m
80+,Boqueirão,0.42,m
0-4,CIC,3.59,m
5-9,CIC,3.99,m
10-14,CIC,4.54,m
15-19,CIC,4.51,m
20-24,CIC,4.7,m
25-29,CIC,4.83,m
30-34,CIC,4.44,m
35-39,CIC,3.93,m
40-44,CIC,3.58,m
45-49,CIC,2.95,m
50-54,CIC,2.46,m
55-59,CIC,1.93,m
