codigo_reg,localidade,idade,perc,sexo
7,Pato Branco,0-4,3.77,m
7,Pato Branco,5-9,3.7,m
7,Pato Branco,10-14,3.43,m
7,Pato Branco,15-19,3.46,m
7,Pato Branco,20-24,3.93,m
7,Pato Branco,25-29,4.19,m
7,Pato Branco,30-34,3.85,m
7,Pato Branco,35-39,3.57,m
7,Pato Branco,40-44,3.23,m
7,Pato Branco,45-49,3.04,m
7,Pato Branco,50-54,3.0,m
7,Pato Branco,55-59,2.78,m
7,Pato Branco,60-64,2.33,m
7,Pato Branco,65-69,1.88,m
7,Pato Branco,70-74,1.36,m
7,Pato Branco,75-79,0.87,m
7,Pato Branco,80+,0.9,m
4,Irati,0-4,3.82,m
4,Irati,5-9,3.7,m
4,Irati,10-14,3.37,m
4,Irati,15-19,3.62,m
4,Irati,20-24,4.15,m
4,Irati,25-29,4.33,m
4,Irati,30-34,3.91,m
4,Irati,35-39,3.76,m
4,Irati,40-44,3.55,m
4,Irati,45-49,3.3,m
4,Irati,50-54,3.25,m
4,Irati,55-59,2.92,m
4,Irati,60-64,2.34,m
4,Irati,65-69,1.8,m
4,Irati,70-74,1.23,m
4,Irati,75-79,0.78,m
4,Irati,80+,0.73,m
5,Guarapuava,0-4,3.96,m
5,Guarapuava,5-9,3.81,m
5,Guarapuava,10-14,3.39,m
5,Guarapuava,15-19,3.55,m
5,Guarapuava,20-24,4.07,m
5,Guarapuava,25-29,4.23,m
5,Guarapuava,30-34,3.69,m
5,Guarapuava,35-39,3.45,m
5,Guarapuava,40-44,3.37,m
5,Guarapuava,45-49,3.21,m
5,Guarapuava,50-54,3.12,m
5,Guarapuava,55-59,2.81,m
5,Guarapuava,60-64,2.27,m
5,Guarapuava,65-69,1.76,m
5,Guarapuava,70-74,1.27,m
5,Guarapuava,75-79,0.81,m
5,Guarapuava,80+,0.92,m
10,Cascavel,0-4,3.46,m
10,Cascavel,5-9,3.44,m
10,Cascavel,10-14,3.29,m
10,Cascavel,15-19,3.37,m
10,Cascavel,20-24,3.94,m
10,Cascavel,25-29,4.23,m
10,Cascavel,30-34,4.04,m
10,Cascavel,35-39,3.75,m
10,Cascavel,40-44,3.45,m
10,Cascavel,45-49,3.25,m
10,Cascavel,50-54,3.14,m
10,Cascavel,55-59,2.79,m
10,Cascavel,60-64,2.26,m
10,Cascavel,65-69,1.8,m
10,Cascavel,70-74,1.32,m
10,Cascavel,75-79,0.87,m
10,Cascavel,80+,0.97,m
21,Telêmaco Borba,0-4,4.31,m
21,Telêmaco Borba,5-9,4.14,m
21,Telêmaco Borba,10-14,3.7,m
21,Telêmaco Borba,15-19,3.74,m
21,Telêmaco Borba,20-24,4.14,m
21,Telêmaco Borba,25-29,4.06,m
21,Telêmaco Borba,30-34,3.76,m
21,Telêmaco Borba,35-39,3.67,m
21,Telêmaco Borba,40-44,3.52,m
21,Telêmaco Borba,45-49,3.24,m
21,Telêmaco Borba,50-54,2.87,m
21,Telêmaco Borba,55-59,2.61,m
21,Telêmaco Borba,60-64,2.21,m
21,Telêmaco Borba,65-69,1.63,m
21,Telêmaco Borba,70-74,1.2,m
21,Telêmaco Borba,75-79,0.81,m
21,Telêmaco Borba,80+,0.84,m
3,Ponta Grossa,0-4,4.05,m
3,Ponta Grossa,5-9,3.91,m
3,Ponta Grossa,10-14,3.66,m
3,Ponta Grossa,15-19,3.82,m
3,Ponta Grossa,20-24,4.24,m
3,Ponta Grossa,25-29,4.18,m
3,Ponta Grossa,30-34,3.83,m
3,Ponta Grossa,35-39,3.69,m
3,Ponta Grossa,40-44,3.5,m
3,Ponta Grossa,45-49,3.14,m
3,Ponta Grossa,50-54,2.83,m
3,Ponta Grossa,55-59,2.48,m
3,Ponta Grossa,60-64,2.03,m
3,Ponta Grossa,65-69,1.55,m
3,Ponta Grossa,70-74,1.08,m
3,Ponta Grossa,75-79,0.67,m
3,Ponta Grossa,80+,0.68,m
17,Londrina,0-4,3.18,m
17,Londrina,5-9,3.18,m
17,Londrina,10-14,3.14,m
17,Londrina,15-19,3.33,m
17,Londrina,20-24,3.72,m
17,Londrina,25-29,3.75,m
17,Londrina,30-34,3.77,m
17,Londrina,35-39,3.69,m
17,Londrina,40-44,3.51,m
17,Londrina,45-49,3.19,m
17,Londrina,50-54,3.1,m
17,Londrina,55-59,2.85,m
17,Londrina,60-64,2.43,m
17,Londrina,65-69,1.96,m
17,Londrina,70-74,1.47,m
17,Londrina,75-79,1.01,m
17,Londrina,80+,1.14,m
18,Cornélio Procópio,0-4,3.1,m
18,Cornélio Procópio,5-9,3.12,m
18,Cornélio Procópio,10-14,2.92,m
18,Cornélio Procópio,15-19,2.93,m
18,Cornélio Procópio,20-24,3.36,m
18,Cornélio Procópio,25-29,3.65,m
18,Cornélio Procópio,30-34,3.59,m
18,Cornélio Procópio,35-39,3.46,m
18,Cornélio Procópio,40-44,3.34,m
18,Cornélio Procópio,45-49,3.26,m
18,Cornélio Procópio,50-54,3.44,m
18,Cornélio Procópio,55-59,3.3,m
18,Cornélio Procópio,60-64,2.83,m
18,Cornélio Procópio,65-69,2.33,m
18,Cornélio Procópio,70-74,1.81,m
18,Cornélio Procópio,75-79,1.19,m
18,Cornélio Procópio,80+,1.51,m
20,Toledo,0-4,3.14,m
20,Toledo,5-9,3.18,m
20,Toledo,10-14,3.1,m
20,Toledo,15-19,3.24,m
20,Toledo,20-24,3.68,m
20,Toledo,25-29,3.99,m
20,Toledo,30-34,3.97,m
20,Toledo,35-39,3.74,m
20,Toledo,40-44,3.45,m
20,Toledo,45-49,3.31,m
20,Toledo,50-54,3.27,m
20,Toledo,55-59,3.01,m
20,Toledo,60-64,2.42,m
20,Toledo,65-69,1.91,m
20,Toledo,70-74,1.44,m
20,Toledo,75-79,0.98,m
20,Toledo,80+,1.05,m
12,Umuarama,0-4,3.08,m
12,Umuarama,5-9,3.15,m
12,Umuarama,10-14,3.05,m
12,Umuarama,15-19,3.1,m
12,Umuarama,20-24,3.4,m
12,Umuarama,25-29,3.77,m
12,Umuarama,30-34,3.88,m
12,Umuarama,35-39,3.72,m
12,Umuarama,40-44,3.53,m
12,Umuarama,45-49,3.35,m
12,Umuarama,50-54,3.39,m
12,Umuarama,55-59,3.1,m
12,Umuarama,60-64,2.59,m
12,Umuarama,65-69,2.02,m
12,Umuarama,70-74,1.59,m
12,Umuarama,75-79,1.13,m
12,Umuarama,80+,1.42,m
8,Francisco Beltrão,0-4,3.31,m
8,Francisco Beltrão,5-9,3.31,m
8,Francisco Beltrão,10-14,3.15,m
8,Francisco Beltrão,15-19,3.2,m
8,Francisco Beltrão,20-24,3.7,m
8,Francisco Beltrão,25-29,4.16,m
8,Francisco Beltrão,30-34,4.03,m
8,Francisco Beltrão,35-39,3.74,m
8,Francisco Beltrão,40-44,3.38,m
8,Francisco Beltrão,45-49,3.24,m
8,Francisco Beltrão,50-54,3.31,m
8,Francisco Beltrão,55-59,3.2,m
8,Francisco Beltrão,60-64,2.64,m
8,Francisco Beltrão,65-69,2.02,m
8,Francisco Beltrão,70-74,1.49,m
8,Francisco Beltrão,75-79,0.96,m
8,Francisco Beltrão,80+,1.01,m
22,Ivaiporã,0-4,3.34,m
22,Ivaiporã,5-9,3.35,m
22,Ivaiporã,10-14,2.97,m
22,Ivaiporã,15-19,2.72,m
22,Ivaiporã,20-24,3.08,m
22,Ivaiporã,25-29,3.78,m
22,Ivaiporã,30-34,3.42,m
22,Ivaiporã,35-39,3.38,m
22,Ivaiporã,40-44,3.42,m
22,Ivaiporã,45-49,3.37,m
22,Ivaiporã,50-54,3.62,m
22,Ivaiporã,55-59,3.45,m
22,Ivaiporã,60-64,2.92,m
22,Ivaiporã,65-69,2.38,m
22,Ivaiporã,70-74,1.86,m
22,Ivaiporã,75-79,1.3,m
22,Ivaiporã,80+,1.52,m
14,Paranavaí,0-4,3.28,m
14,Paranavaí,5-9,3.34,m
14,Paranavaí,10-14,3.27,m
14,Paranavaí,15-19,3.21,m
14,Paranavaí,20-24,3.56,m
14,Paranavaí,25-29,3.94,m
14,Paranavaí,30-34,3.85,m
14,Paranavaí,35-39,3.62,m
14,Paranavaí,40-44,3.38,m
14,Paranavaí,45-49,3.35,m
14,Paranavaí,50-54,3.39,m
14,Paranavaí,55-59,3.1,m
14,Paranavaí,60-64,2.54,m
14,Paranavaí,65-69,1.92,m
14,Paranavaí,70-74,1.42,m
14,Paranavaí,75-79,1.02,m
14,Paranavaí,80+,1.29,m
1,Paranaguá,0-4,3.99,m
1,Paranaguá,5-9,3.82,m
1,Paranaguá,10-14,3.38,m
1,Paranaguá,15-19,3.45,m
1,Paranaguá,20-24,3.94,m
1,Paranaguá,25-29,3.88,m
1,Paranaguá,30-34,3.42,m
